Sample: Sample_ID_submitter,File: Raw_or_Processed,File: File_format,File: contents,File: File_name,File: Genome_build,File:  Number of cases,File: Number of controls,File: Processed_date,Processing_steps:Pipeline_info,Processing_steps:Annotation_info,Processing_steps:Normalization_info,Processing_steps: Genotype level QC (xQTL),Processing_steps: Genotype level imputation (xQTL),Processing_steps: Genotype level QC (WGS/WES),Processing_steps:  Imputation Panel,File: md5sum,File: Transferred_date,File: File_size (bytes)
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 19,magenta_nhw_imp_fil_no_rel_p5_t5.19.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,1766043385
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 20,magenta_nhw_imp_fil_no_rel_p5_t5.20.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,560883817
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 21,magenta_nhw_imp_fil_no_rel_p5_t5.21.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,242658419
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 22,magenta_nhw_imp_fil_no_rel_p5_t5.22.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,610419683
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 1,magenta_nhw_imp_fil_no_rel_p5_t5.1.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,467039
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 2,magenta_nhw_imp_fil_no_rel_p5_t5.2.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,306363
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 3,magenta_nhw_imp_fil_no_rel_p5_t5.3.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,245174
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 4,magenta_nhw_imp_fil_no_rel_p5_t5.4.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,155702
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 5,magenta_nhw_imp_fil_no_rel_p5_t5.5.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,202044
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 6,magenta_nhw_imp_fil_no_rel_p5_t5.6.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,239844
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 7,magenta_nhw_imp_fil_no_rel_p5_t5.7.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,241679
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 8,magenta_nhw_imp_fil_no_rel_p5_t5.8.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,153147
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 9,magenta_nhw_imp_fil_no_rel_p5_t5.9.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,176462
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 10,magenta_nhw_imp_fil_no_rel_p5_t5.10.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,172124
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 11,magenta_nhw_imp_fil_no_rel_p5_t5.11.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,251819
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 12,magenta_nhw_imp_fil_no_rel_p5_t5.12.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,253705
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 13,magenta_nhw_imp_fil_no_rel_p5_t5.13.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,78889
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 14,magenta_nhw_imp_fil_no_rel_p5_t5.14.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,178480
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 15,magenta_nhw_imp_fil_no_rel_p5_t5.15.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,154245
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 16,magenta_nhw_imp_fil_no_rel_p5_t5.16.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,242899
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 17,magenta_nhw_imp_fil_no_rel_p5_t5.17.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,306729
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 18,magenta_nhw_imp_fil_no_rel_p5_t5.18.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,69020
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 19,magenta_nhw_imp_fil_no_rel_p5_t5.19.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,351550
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 20,magenta_nhw_imp_fil_no_rel_p5_t5.20.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,121379
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 21,magenta_nhw_imp_fil_no_rel_p5_t5.21.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,47940
All samples,Processed,TensorQTL Empirical Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 22,magenta_nhw_imp_fil_no_rel_p5_t5.22.emprical.cis_sumstats.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,136364
