Sample: Sample_ID_submitter,File: Raw_or_Processed,File: File_format,File: contents,File: File_name,File: Genome_build,File: Number of cases and controls,File: Processed_date,Processing_steps:Pipeline_info,Processing_steps:Annotation_info,Processing_steps:Normalization_info,Processing_steps: Genotype level QC (xQTL),Processing_steps: Genotype level imputation (xQTL),Processing_steps: Genotype level QC (WGS/WES),File: md5sum,File: Transferred_date,File: File_size
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 11,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.11.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.11",No,N/A,N/A,N/A,894945261
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 12,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.12.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.12",No,N/A,N/A,N/A,7763451609
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 13,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.13.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.13",No,N/A,N/A,N/A,3484006456
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 14,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.14.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.14",No,N/A,N/A,N/A,5465781040
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 15,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.15.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.15",No,N/A,N/A,N/A,4907633435
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 16,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.16.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.16",No,N/A,N/A,N/A,6096110209
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 17,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.17.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.17",No,N/A,N/A,N/A,9089851203
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 18,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.18.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.18",No,N/A,N/A,N/A,289704182
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 19,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.19.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.19",No,N/A,N/A,N/A,8169609874
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 20,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.20.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.20",No,N/A,N/A,N/A,4771251696
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 21,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.21.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.21",No,N/A,N/A,N/A,1696226718
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 22,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.22.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.22",No,N/A,N/A,N/A,4703084287
All samples,Processed,TensorQTL Emprical Summary Statistics (txt file),cis-haQTL Summary Statistics for wholegenome,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.emprical.cis_sumstats.txt,Hg39,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.23",No,N/A,N/A,N/A,33243831
