SubjectID_submitter,SampleID_submitter,Sample: Organism,Sample: Biosample type,Sample: Biosample description,Protocol: Material_type,Protocol: Assay,Protocol: Antibody,"Protocol: Platform (RNA-Seq, WGS)",Sample: Life_stage,Sample: Treatment,Sample: Material_amount,Sample: RIN,Protocol: Extraction_brief,Protocol: Experiment_description_brief,Protocol: Run_type,Protocol: Library_info_brief,Protocol: Read_length,Data contribution
R5574987,103_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.7,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R6555891,104_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.3,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3128463,108_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.9,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7578585,109_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.4,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9506463,111_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.9,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9328823,112_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8799615,113_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.9,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R4620822,115_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R2697774,116_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R6057469,118_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R6691514,119_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R6171213,11_120410,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.2,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8935140,120_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8998310,121_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1073074,122_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3987433,124_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R5992638,125_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.4,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R6589731,126_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.9,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R4575675,128_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R5131375,129_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.9,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3722356,12_120410,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.4,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9400562,130_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R2703808,131_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8410459,132_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R6415047,133_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.2,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1103580,134_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.2,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3426726,136_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.3,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7462671,138_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1521786,140_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.7,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R5694375,141_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R1214999,142_120419,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.7,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
