CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,PATHWAY_STATUS,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,SHORT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PLANT_CYC,PUBCHEM,PLATFORM
112,305,531,146400,Lipid,Mevalonate Metabolism,3175,,NAMED,NPOAOTPXWNWTSH-NUQVWONBAH,CC(CC(O)=O)(CC(O)=O)O,3-hydroxy-3-methylglutarate,3-hydroxy-3-methylglutarate,503-49-1,4573695,HMDB0000355,C03761,,"1662,5459993",LC/MS Polar
117,209,1101,124537,Amino Acid,Tyrosine Metabolism,210,,NAMED,QRMZSPFSDQBLIX-REWHXWOFAT,COC1=CC(CC(O)=O)=CC=C1O,homovanillate (HVA),homovanillate (HVA),306-08-1,5323114,HMDB0000118,C05582,,1738,LC/MS Neg
132,209,1414,124549,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1237,,NAMED,IACAHGYCKIUESG-REWHXWOFAW,OC(C(O)=O)COP(O)(O)=O,3-phosphoglycerate,3-phosphoglycerate,80731-10-8,10669764,HMDB0000807,C00597,G3P,724,LC/MS Neg
136,209,22842,124689,Lipid,Primary Bile Acid Metabolism,3452,,NAMED,BHQCQFFYRZLCQQ-OELDTZBJBZ,O[C@H]1[C@@]2([H])[C@]3([H])CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)[C@@H](O)C[C@]2([H])[C@@]4(C)CC[C@@H](O)CC4C1,cholate,cholate,81-25-4,,HMDB0000619,C00695,,221493,LC/MS Neg
141,400,1416,155362,Amino Acid,Glutamate Metabolism,57,,NAMED,BTCSSZJGUNDROE-UHFFFAOYAC,OC(CCCN)=O,gamma-aminobutyrate (GABA),gamma-aminobutyrate (GABA),56-12-2,116,HMDB0000112,C00334,4-AMINO-BUTYRATE,119,LC/MS Pos Early
144,209,541,123169,Amino Acid,Phenylalanine Metabolism,159,,NAMED,XQXPVVBIMDBYFF-REWHXWOFAL,OC(CC1=CC=C(C=C1)O)=O,4-hydroxyphenylacetate,4-hydroxyphenylacetate,156-38-7,3881560,HMDB0000020,C00642,,127,LC/MS Neg
158,209,1418,123205,Nucleotide,"Pyrimidine Metabolism, Thymine containing",4278,,NAMED,NBAKTGXDIBVZOO-UHFFFAOYAR,O=C(NCC1C)NC1=O,"5,6-dihydrothymine","5,6-dihydrothymine",696-04-8,84456,HMDB0000079,C00906,DIHYDRO-THYMINE,93556,LC/MS Neg
171,209,3127,124615,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4118,,NAMED,FDGQSTZJBFJUBT-UHFFFAOYAJ,O=C1C(N=CN2)=C2N=CN1,hypoxanthine,hypoxanthine,68-94-0,768,HMDB0000157,C00262,HYPOXANTHINE,"790,135398638",LC/MS Neg
172,400,32352,155912,Nucleotide,"Purine Metabolism, Guanine containing",4181,,NAMED,UYTPUPDQBNUYGX-UHFFFAOYAE,NC(N1)=NC2=C(NC=N2)C1=O,guanine,guanine,73-40-5,744,HMDB0000132,C00242,GUANINE,135398634,LC/MS Pos Early
179,209,38399,143740,Lipid,"Fatty Acid, Dihydroxy",2031,,NAMED,XEBKSQSGNGRGDW-YFHOEESVBC,CCCCC/C=C\CC(C(CCCCCCCC(O)=O)O)O,"9,10-DiHOME","9,10-DiHOME",263399-34-4,8142232,HMDB0004704,C14828,,9966640,LC/MS Neg
180,209,1105,125969,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1567,,NAMED,OYHQOLUKZRVURQ-HZJYTTRNBX,OC(CCCCCCC/C=C\C/C=C\CCCCC)=O,linoleate (18:2n6),linoleate (18:2n6),60-33-3,4444105,"HMDB0006270,HMDB0000673",C01595,LINOLEIC_ACID,5280450,LC/MS Neg
189,400,1498,155380,Amino Acid,Lysine Metabolism,116,,NAMED,MXNRLFUSFKVQSK-UHFFFAOYAO,C[N+](C)(CCCCC(C([O-])=O)N)C,"N6,N6,N6-trimethyllysine","N6,N6,N6-trimethyllysine",23284-33-5,140379,HMDB0001325,C03793,,440120,LC/MS Pos Early
192,400,37496,156406,Amino Acid,Polyamine Metabolism,538,,NAMED,KLZGKIDSEJWEDW-UHFFFAOYAE,CC(NCCCCN)=O,N-acetylputrescine,N-acetylputrescine,18233-70-0,109095,HMDB0002064,C02714,,122356,LC/MS Pos Early
194,209,2829,124831,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",437,,NAMED,PYUSHNKNPOHWEZ-YFKPBYRVBS,CSCCC(C(O)=O)NC=O,N-formylmethionine,N-formylmethionine,4289-98-9,388809,HMDB0001015,C03145,,439750,LC/MS Neg
197,209,42382,124939,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",446,,NAMED,,OC1C(N2C=NC3=C2N=CN=C3N)OC(CSCCC(N)C(O)=O)C1O,S-adenosylhomocysteine (SAH),S-adenosylhomocysteine (SAH),979-92-0,16788012,HMDB00939,C00021,ADENOSYL-HOMO-CYS,439155,LC/MS Neg
208,209,3108,126001,Nucleotide,"Purine Metabolism, Adenine containing",4136,,NAMED,XTWYTFMLZFPYCI-KQYNXXCUBP,NC1=NC=NC2=C1N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](COP(OP(O)(O)=O)(O)=O)([H])O3,adenosine 5'-diphosphate (ADP),ADP,20398-34-9,5800,HMDB0001341,C00008,ADP,6022,LC/MS Neg
209,209,32342,123327,Nucleotide,"Purine Metabolism, Adenine containing",4137,,NAMED,UDMBCSSLTHHNCD-RWLQFSFNBF,NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O,adenosine 5'-monophosphate (AMP),AMP,149022-20-8,10239183,HMDB0000045,C00020,AMP,6083,LC/MS Neg
212,400,1419,155365,Amino Acid,Polyamine Metabolism,556,,NAMED,WUUGFSXJNOTRMR-IOSLPCCCBD,NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3,5-methylthioadenosine (MTA),5-methylthioadenosine (MTA),2457-80-9,388321,HMDB0001173,C00170,5-METHYLTHIOADENOSINE,439176,LC/MS Pos Early
213,400,37114,156329,Nucleotide,"Purine Metabolism, Adenine containing",4152,,NAMED,VQAYFKKCNSOZKM-IOSLPCCCBA,OC(C1O)C(OC1CO)N(C=N2)C3=C2C(NC)=NC=N3,N6-methyladenosine,N6-methyladenosine,1867-73-8,92307,HMDB0004044,,,102175,LC/MS Pos Early
215,400,558,155321,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4324,,NAMED,SDMADEZQMYCSNO-UHFFFAOYAX,NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(OP(O)(OC4OC(C(C4O)O)CO)=O)=O,adenosine 5'-diphosphoribose (ADP-ribose),adenosine 5'-diphosphoribose (ADP-ribose),68414-18-6,3674071,HMDB0001178,C00301,ADENOSINE_DIPHOSPHATE_RIBOSE,192,LC/MS Pos Early
229,209,1110,125971,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1573,,NAMED,YZXBAPSDXZZRGB-DOFZRALJBE,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=O,arachidonate (20:4n6),arachidonate (20:4n6),506-32-1,392692,HMDB0001043,C00219,ARACHIDONIC_ACID,444899,LC/MS Neg
231,400,1638,155435,Amino Acid,Urea cycle; Arginine and Proline Metabolism,483,,NAMED,ODKSFYDXXFIFQN-UHFFFAOYAT,N=C(N)NCCCC(N)C(O)=O,arginine,arginine,1119-34-2,227,HMDB0000517,C00062,ARG,6322,LC/MS Pos Early
232,400,15497,155552,Amino Acid,Urea cycle; Arginine and Proline Metabolism,484,,NAMED,KDZOASGQNOPSCU-UHFFFAOYAF,NC(C(O)=O)CCCNC(NC(C(O)=O)CC(O)=O)=N,argininosuccinate,argininosuccinate,156637-58-0,805,HMDB0000052,C03406,L-ARGININO-SUCCINATE,60150382,LC/MS Pos Early
233,400,32354,155914,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4344,,NAMED,CIWBSHSKHKDKBQ-JLAZNSOCBT,OCC(O)C1OC(C(O)=C1O)=O,ascorbate (Vitamin C),ascorbate (Vitamin C),134-03-2,10189562,HMDB0000044,"D00018,C00072",ASCORBATE,54670067,LC/MS Pos Early
234,400,443,155304,Amino Acid,Alanine and Aspartate Metabolism,36,,NAMED,CKLJMWTZIZZHCS-REOHCLBHBW,NC(C(O)=O)CC(O)=O,aspartate,aspartate,56-84-8,5745,HMDB0000191,C00049,L-ASPARTATE,5960,LC/MS Pos Early
240,209,32197,123321,Amino Acid,Tyrosine Metabolism,181,,NAMED,JVGVDSSUAVXRDY-UHFFFAOYAV,OC(C(O)=O)CC1=CC=C(O)C=C1,3-(4-hydroxyphenyl)lactate,3-(4-hydroxyphenyl)lactate (HPLA),6482-98-0,9010,HMDB0000755,C03672,CPD-2222,9378,LC/MS Neg
249,209,1768,124817,Amino Acid,Histidine Metabolism,84,,NAMED,CQOVPNPJLQNMDC-ZETCQYMHBX,OC([C@H](CC1=CNC=N1)NC(CCN)=O)=O,carnosine,carnosine,305-84-0,388363,HMDB0000033,C00386,,439224,LC/MS Neg
250,402,2137,158009,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,4408,,NAMED,QBUVFDKTZJNUPP-BBROENKCBK,CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O,biliverdin,biliverdin,"55482-27-4,55482-27-4",10628548,HMDB0001008,C00500,,5280353,LC/MS Pos Late
254,305,542,145710,Lipid,Ketone Bodies,1938,,NAMED,WHBMMWSBFZVSSR-UHFFFAOYAO,CC(O)CC(O)=O,3-hydroxybutyrate (BHBA),3-hydroxybutyrate (BHBA),625-72-9,428,"HMDB0000442,HMDB0000357,HMDB0000011","C03197,C01089",Hydroxy-Butyrates,"94318,441,92135",LC/MS Polar
264,402,1099,161403,Lipid,Sterol,3194,,NAMED,UCTLRSWJYQTBFZ-DDPQNLDTBZ,CC12C(C3=CC=C4CC(O)CCC4(C)C3CC2)CCC1C(C)CCCC(C)C,7-dehydrocholesterol,7-dehydrocholesterol,434-16-2,388534,HMDB0000032,C01164,,439423,LC/MS Pos Late
266,402,63,164177,Lipid,Sterol,3191,,NAMED,HVYWMOMLDIMFJA-LBHVWCRMBB,CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1,cholesterol,cholesterol,57-88-5,4937803,HMDB0000067,C00187,CHOLESTEROL,"5997,6432564,11025495",LC/MS Pos Late
267,400,34396,156099,Lipid,Phospholipid Metabolism,2233,,NAMED,YHHSONZFOIEMCP-UHFFFAOYAD,C[N+](C)(CCOP(O)([O-])=O)C,choline phosphate,phosphocholine,72556-74-2,119298,HMDB0001565,C00588,PHOSPHORYL-CHOLINE,1014,LC/MS Pos Early
269,209,62804,220430,Amino Acid,Glutathione Metabolism,593,,NAMED,JYKWMJBUIXNJOG-JHKACSFWBF,O[C@H]1[C@H](N2C(N=CN=C3N)=C3N=C2)O[C@H](COP(OP(OCC(C)(C)C(C(NCCC(NCCSSC[C@@H](C(NCC(O)=O)=O)NC(CC[C@@H](C(O)=O)N)=O)=O)=O)O)(O)=O)(O)=O)[C@H]1OP(O)(O)=O,CoA-glutathione*,CoA-glutathione*,6477-52-7,10128089,,C00920,,46873828,LC/MS Neg
270,209,46322,145265,Cofactors and Vitamins,Pantothenate and CoA Metabolism,4339,,NAMED,RGJOEKWQDUBAIZ-UHFFFAOYAQ,CC(COP(O)(OP(O)(OCC1OC(N2C=NC3=C2N=CN=C3N)C(C1OP(O)(O)=O)O)=O)=O)(C(C(NCCC(NCCS)=O)=O)O)C,coenzyme A,CoA,"85-61-0,18439-24-2",311,HMDB0001423,C00010,CO-A,87642,LC/MS Neg
272,209,5983,126005,Lipid,Corticosteroids,3296,,NAMED,OMFXVFTZEKFJBZ-HJTSIMOOBD,CC(C(CC1)=CC2=O)(CC2)C3C1C(CCC4C(CO)=O)C4(C)CC3O,corticosterone,corticosterone,50-22-6,5550,HMDB0001547,C02140,,5753,LC/MS Neg
273,209,1769,124819,Lipid,Corticosteroids,3314,,NAMED,IWIJFUQFXLWZIA-UHFFFAOYAP,O[C@@]1([C@@](CO)=O)[C@](C2)(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])C2=O,cortisone,cortisone,53-06-5,361685,HMDB0002802,C00762,CORTISONE,222786,LC/MS Neg
275,400,513,155307,Amino Acid,Creatine Metabolism,529,,NAMED,DDRJAANPRJIHGJ-UHFFFAOYAV,CN(C(N1)=N)CC1=O,creatinine,creatinine,60-27-5,568,HMDB0000562,C00791,,588,LC/MS Pos Early
278,400,35637,156206,Amino Acid,Glutathione Metabolism,576,,NAMED,ZUKPVRWZDMRIEO-UHFFFAOYAS,NC(C(NCC(O)=O)=O)CS,cysteinylglycine,cysteinylglycine,19246-18-5,58762,HMDB0000078,C01419,CYS-GLY,439498,LC/MS Pos Early
279,400,56,155296,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",462,,NAMED,LEVWYRKDKASIDU-UHFFFAOYAA,NC(C(O)=O)CSSCC(N)C(O)=O,cystine,cystine,56-89-3,575,HMDB0000192,C00491,CYSTINE,67678,LC/MS Pos Early
290,305,580,146412,Carbohydrate,Aminosugar Metabolism,1402,,NAMED,XHMJOUIAFHJHBW-QZABAPFNBN,NC1C(OC(C(C1O)O)COP(O)(O)=O)O,glucosamine-6-phosphate,glucosamine-6-phosphate,3616-42-0,8013767,HMDB0001254,C00352,N-ACETYL-D-GLUCOSAMINE-6-P,440997,LC/MS Polar
291,305,31260,147190,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1224,,NAMED,VFRROHXSMXFLSN-NGXFZYQLBX,OC1OC(C(C(C1O)O)O)COP(O)(O)=O,glucose 6-phosphate,glucose 6-phosphate,103192-55-8,19952394,HMDB0001401,C00092,ALPHA-GLC-6-P,5958,LC/MS Polar
294,305,1469,146438,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",1353,,NAMED,VFRROHXSMXFLSN-QPDBYLPOBX,OP(OC[C@@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O)(O)=O,mannose-6-phosphate,mannose 6-phosphate,"104872-94-8,70442-25-0",19969422,HMDB0001078,C00275,MANNOSE-6P,439198,LC/MS Polar
297,402,17747,158164,Lipid,Sphingosines,3159,,NAMED,WWUZIQQURGPMPG-CCEZHUSRBL,CCCCCCCCCCCCC/C=C/C(C(CO)N)O,sphingosine,sphingosine,123-78-4,4510275,HMDB0000252,C00319,SPHINGOSINE,5280335,LC/MS Pos Late
298,400,533,155313,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4258,,NAMED,NCMVOABPESMRCP-JZOUJQBSBG,NC1=NC(N(C2CC(C(O2)COP(O)(O)=O)O)C=C1)=O,2'-deoxycytidine 5'-monophosphate,dCMP,1032-65-1,5414501,HMDB0001202,C00239,DCM,13945,LC/MS Pos Early
301,209,34302,126135,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4348,,NAMED,SBJKKFFYIZUCET-UHFFFAOYAZ,OCC(C1OC(C(C1=O)=O)=O)O,dehydroascorbate,dehydroascorbate,490-83-5,812,HMDB0001264,C05422,L-DEHYDRO-ASCORBATE,440667,LC/MS Neg
302,209,1114,125714,Lipid,Secondary Bile Acid Metabolism,3477,,NAMED,KXGVEGMKQFWNSR-LLQZFEROBK,CC12[C@@]([C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@@H]2O)([H])CC[C@]1([H])[C@]([H])(C)CCC(O)=O,deoxycholate,deoxycholate,83-44-3,389318,HMDB0000626,C04483,,"222528,440355",LC/MS Neg
309,209,15522,145093,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1232,,NAMED,GNGACRATGGDKBX-NUQVWONBAJ,OCC(COP(O)(O)=O)=O,dihydroxyacetone phosphate (DHAP),dihydroxyacetone phosphate (DHAP),102783-56-2,3833110,HMDB0001473,C00111,DIHYDROXY-ACETONE-PHOSPHATE,668,LC/MS Neg
310,400,15705,155581,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",453,,NAMED,ILRYLPWNYFXEMH-UHFFFAOYAH,OC(C(CCSCC(N)C(O)=O)N)=O,cystathionine,cystathionine,535-34-2,811,HMDB0000099,C02291,L-CYSTATHIONINE,439258,LC/MS Pos Early
313,402,17769,158166,Lipid,Sphingolipid Synthesis,3000,,NAMED,OTKJDMGTUTTYMP-UHFFFAOYAS,CCCCCCCCCCCCCCCC(C(CO)N)O,sphinganine,sphinganine,3102-56-5,3014,HMDB0000269,C00836,DIHYDRO-SPHINGOSINE,3126,LC/MS Pos Late
327,209,2134,124607,Cofactors and Vitamins,Riboflavin Metabolism,4330,,NAMED,VWWQXMAJTJZDQX-UYBVJOGSBL,OC(C(O)C(O)COP(OP(OC[C@H]1O[C@@H](N(C=N2)C3=C2C(N)=NC=N3)[C@H](O)[C@@H]1O)(O)=O)(O)=O)CN(C(C=C(C)C(C)=C4)=C4N=C5C(N6)=O)C5=NC6=O,flavin adenine dinucleotide (FAD),FAD,"146-14-5,84366-81-4",559059,HMDB0001248,C00016,FAD,643975,LC/MS Neg
330,305,1643,146876,Energy,TCA Cycle,1449,,NAMED,VZCYOOQTPOCHFL-OWOJBTEDBF,OC(/C=C/C(O)=O)=O,fumarate,fumarate,100-17-8,10197150,HMDB0000134,C00122,FUM,444972,LC/MS Polar
331,400,36738,156248,Peptide,Gamma-glutamyl Amino Acid,634,,NAMED,OWQDWQKWSLFFFR-WDSKDSINBR,O=C(O)C(N)CCC(NC(C(O)=O)CCC(O)=O)=O,gamma-glutamylglutamate,gamma-glutamylglutamate,1116-22-9,83831,HMDB0011737,C05282,,92865,LC/MS Pos Early
335,305,15903,152138,Carbohydrate,Nucleotide Sugar,1387,,NAMED,,OP(OC1C(O)C(O)C(O)C(C)O1)(OP(O)(OCC2OC(N3C=NC4=C3N=C(NC4=O)N)C(C2O)O)=O)=O,guanosine 5'-diphospho-fucose,guanosine 5'-diphospho-fucose,15839-70-0,,,,,,LC/MS Polar
338,305,587,147098,Xenobiotics,Food Component/Plant,4802,,NAMED,RGHNJXZEOKUKBD-SQOUGZDYBY,OC([C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)=O,gluconate,gluconate,527-07-1,10240,HMDB0000625,C00257,GLUCONATE,"10690,3085666",LC/MS Polar
339,305,396,146390,Lipid,"Fatty Acid, Dicarboxylate",1659,,NAMED,JFCQEDHGNNZCLN-NUQVWONBAE,OC(CCCC(O)=O)=O,glutarate (C5-DC),glutarate (C5-DC),110-94-1,3618533,HMDB0000661,C00489,GLUTARATE,"743,4418048",LC/MS Polar
340,400,58,160611,Amino Acid,"Glycine, Serine and Threonine Metabolism",1,,NAMED,DHMQDGOQFOQNFH-UHFFFAOYAW,NCC(O)=O,glycine,glycine,56-40-6,730,HMDB0000123,C00037,GLY,750,LC/MS Pos Early
342,209,18476,126842,Lipid,Primary Bile Acid Metabolism,3453,,NAMED,RFDAIACWWDREDC-FRVQLJSFBG,O=C(CNC(CC[C@H]([C@@H]1[C@@]2(C)[C@@H](O)C[C@]3([H])[C@@]4(C)CC[C@@H](O)C[C@@]4([H])C[C@@H](O)[C@@]3([H])[C@]2([H])CC1)C)=O)O,glycocholate,glycocholate,"475-31-0,863-57-0",9734,HMDB0000138,C01921,,10140,LC/MS Neg
344,400,43802,157048,Amino Acid,Creatine Metabolism,527,,NAMED,BPMFZUMJYQTVII-UHFFFAOYAQ,NC(NCC(O)=O)=N,guanidinoacetate,guanidinoacetate,352-97-6,743,HMDB0000128,C00581,,763,LC/MS Pos Early
348,209,1411,124547,Nucleotide,"Purine Metabolism, Guanine containing",4198,,NAMED,YKBGVTZYEHREMT-KVQBGUIXBI,OC1=C(N=CN2C(CC3O)OC3CO)C2=NC(N)=N1,2'-deoxyguanosine,2'-deoxyguanosine,961-07-9,163230,HMDB0000085,C00330,DEOXYGUANOSINE,135398592,LC/MS Neg
355,209,59,123153,Amino Acid,Histidine Metabolism,70,,NAMED,HNDVDQJCIGZPNO-UHFFFAOYAG,NC(C(O)=O)CC1=CN=CN1,histidine,histidine,5934-29-2,752,HMDB0000177,C00135,HIS,6274,LC/MS Neg
356,209,1712,124815,Lipid,Corticosteroids,3304,,NAMED,JYGXADMDTFJGBT-VWUMJDOOBO,O[C@@]1([C@@](CO)=O)[C@]2(C)[C@](CC1)([H])[C@@](CCC3=CC4=O)([H])[C@]([C@@]3(C)CC4)([H])[C@@H](O)C2,cortisol,cortisol,50-23-7,,HMDB0000063,C00735,,5754,LC/MS Neg
358,400,590,155331,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",470,,NAMED,VVIUBCNYACGLLV-UHFFFAOYAM,NCCS(O)=O,hypotaurine,hypotaurine,300-84-5,96959,HMDB0000965,C00519,,107812,LC/MS Pos Early
361,209,1123,123191,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4117,,NAMED,UGQMRVRMYYASKQ-DGPXGRDGBU,O[C@H]1[C@H](N2C(N=CN=C3O)=C3N=C2)O[C@H](CO)[C@H]1O,inosine,inosine,58-63-9,21241953,HMDB0000195,C00294,INOSINE,6021,LC/MS Neg
363,305,1124,145716,Lipid,Inositol Metabolism,2201,,NAMED,CDAISMWEOUEBRE-GPIVLXJGBG,O[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O)[C@H]1O,myo-inositol,myo-inositol,87-89-8,10239179,HMDB0000211,C00137,MYO-INOSITOL,892,LC/MS Polar
370,305,43849,149790,Lipid,Inositol Metabolism,2210,,NAMED,INAPMGSXUVUWAF-PTQMNWPWBP,O[C@@H]1[C@H]([C@@H]([C@H]([C@H]([C@H]1O)O)OP(O)(O)=O)O)O,inositol 1-phosphate (I1P),inositol 1-phosphate (I1P),"106032-59-1,573-35-3",17215924,HMDB0000213,C01177,1-L-MYO-INOSITOL-1-P,440194,LC/MS Polar
376,400,1125,155350,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",385,,NAMED,AGPKZVBTJJNPAG-UHFFFAOYAW,NC(C(O)=O)C(C)CC,isoleucine,isoleucine,73-32-5,769,HMDB0000172,"C06418,C00407,C16424",ILE,6306,LC/MS Pos Early
381,305,6146,147948,Amino Acid,Lysine Metabolism,123,,NAMED,OYIFNHCXNCRBQI-UHFFFAOYAC,OC(CCCC(N)C(O)=O)=O,2-aminoadipate,2-aminoadipate,"1118-90-7,542-32-5",456,HMDB0000510,C00956,CPD-468,92136,LC/MS Polar
382,305,47089,180870,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",481,,NAMED,XVOYSCVBGLVSOL-REOHCLBHBO,O=C(O)C(N)CS(=O)(O)=O,3-sulfo-L-alanine,3-sulfo-L-alanine,498-40-8,65718,HMDB0002757,C00506,,72886,LC/MS Polar
391,400,2132,155460,Amino Acid,Urea cycle; Arginine and Proline Metabolism,492,,NAMED,RHGKLRLOHDJJDR-UHFFFAOYAQ,NC(C(O)=O)CCCNC(N)=O,citrulline,citrulline,372-75-8,810,HMDB0000904,C00327,L-CITRULLINE,9750,LC/MS Pos Early
392,400,1495,155377,Amino Acid,Lysine Metabolism,122,,NAMED,ZDGJAHTZVHVLOT-YUMQZZPRBV,NC(C(O)=O)CCCCNC(C(O)=O)CCC(O)=O,saccharopine,saccharopine,997-68-2,141086,HMDB0000279,C00449,SACCHAROPINE,160556,LC/MS Pos Early
397,400,60,155300,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",332,,NAMED,,O=C([C@H](CC(C)C)N)O,leucine,leucine,61-90-5,,HMDB0000687,C00123,,6106,LC/MS Pos Early
407,400,1301,155354,Amino Acid,Lysine Metabolism,105,,NAMED,KDXKERNSBIXSRK-YFKPBYRVBE,NC(C(O)=O)CCCCN,lysine,lysine,56-87-1,5747,HMDB0003405,"C00739,C00047",LYS,5962,LC/MS Pos Early
